Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,45.090000,46.490002,44.980000,46.180000,43.197598,58587900
2022-01-04,47.060001,48.430000,47.040001,47.990002,44.890705,74606700
2022-01-05,48.139999,48.369999,47.160000,47.180000,44.133015,57791600
2022-01-06,47.980000,48.160000,47.189999,48.130001,45.021660,52040900
2022-01-07,48.150002,49.310001,48.060001,49.180000,46.003849,59082600
2022-01-10,49.910000,50.080002,48.340000,48.930000,45.769997,66839500
2022-01-11,48.990002,49.250000,48.639999,49.209999,46.031914,40454400
2022-01-12,49.169998,49.380001,48.680000,48.860001,45.704521,41378000
2022-01-13,48.919998,49.490002,48.630001,48.759998,45.610977,46337500
2022-01-14,47.520000,48.230000,47.189999,47.910000,44.815872,72953300
2022-01-18,47.849998,47.919998,46.049999,46.259998,43.272430,65877400
2022-01-19,48.389999,48.580002,46.349998,46.439999,43.440807,84451800
2022-01-20,46.689999,47.049999,45.660000,45.750000,42.795368,46265300
2022-01-21,45.570000,46.020000,44.660000,44.919998,42.018970,71303600
2022-01-24,43.900002,44.689999,42.590000,44.549999,41.672871,90672700
2022-01-25,44.290001,45.570000,43.830002,45.430000,42.496029,73555300
2022-01-26,45.779999,46.459999,45.259998,45.900002,42.935680,63735800
2022-01-27,46.369999,46.750000,45.090000,45.470001,42.533451,63402400
2022-01-28,45.330002,45.889999,44.450001,45.869999,42.907619,51048300
2022-01-31,45.520000,46.270000,45.220001,46.139999,43.160179,44793700
2022-02-01,46.209999,47.099998,45.900002,46.939999,43.908520,40326600
2022-02-02,46.720001,46.959999,46.299999,46.889999,43.861744,41125600
2022-02-03,47.220001,47.290001,46.349998,46.430000,43.431450,35879900
2022-02-04,47.080002,48.689999,46.680000,48.279999,45.161976,60297100
2022-02-07,48.560001,48.759998,47.990002,48.509998,45.377125,44824800
2022-02-08,49.150002,50.020000,48.939999,49.380001,46.190929,49560500
2022-02-09,49.220001,49.790001,49.029999,49.279999,46.097389,33861100
2022-02-10,49.680000,50.110001,48.759998,49.049999,45.882240,47082800
2022-02-11,48.630001,49.439999,47.500000,47.919998,44.825222,61056000
2022-02-14,48.020000,48.189999,46.939999,47.419998,44.357513,44791900
2022-02-15,48.000000,48.369999,47.570000,47.790001,44.703625,42397600
2022-02-16,47.439999,48.240002,47.310001,47.680000,44.600723,36664600
2022-02-17,47.000000,47.290001,45.950001,46.070000,43.094696,49442400
2022-02-18,46.070000,46.540001,45.720001,45.959999,42.991802,37856500
2022-02-22,45.169998,45.980000,45.040001,45.560001,42.617641,51905600
2022-02-23,45.950001,46.110001,44.570000,44.779999,41.888020,45704900
2022-02-24,43.000000,43.680000,42.049999,43.599998,40.784218,80484800
2022-02-25,43.810001,45.349998,43.630001,45.020000,42.112514,68530700
2022-02-28,43.720001,44.259998,43.439999,44.200001,41.345467,69955300
2022-03-01,43.709999,43.740002,41.930000,42.470001,39.727196,74895600
2022-03-02,42.740002,43.540001,42.619999,43.160000,40.372643,70834600
2022-03-03,43.090000,43.500000,42.209999,42.490002,39.940239,48733800
2022-03-04,41.430000,41.439999,40.320000,40.950001,38.492657,75572800
2022-03-07,39.930000,40.110001,38.209999,38.340000,36.039268,109779000
2022-03-08,39.070000,39.660000,38.169998,38.590000,36.274269,76553800
2022-03-09,40.310001,41.610001,40.160000,41.040001,38.577251,78207900
2022-03-10,40.290001,41.480000,40.110001,40.669998,38.229454,48804400
2022-03-11,41.040001,41.380001,40.290001,40.330002,37.909859,43946600
2022-03-14,40.900002,42.180000,40.900002,41.200001,38.727646,54262400
2022-03-15,41.259998,41.779999,40.869999,41.500000,39.009647,41395300
2022-03-16,42.240002,43.049999,41.919998,42.799999,40.231636,59477600
2022-03-17,42.410000,43.040001,41.830002,43.029999,40.447834,50260200
2022-03-18,42.759998,42.930000,42.259998,42.900002,40.325634,74470600
2022-03-21,43.349998,43.430000,42.509998,42.840000,40.269234,47106400
2022-03-22,43.820000,44.630001,43.700001,44.180000,41.528824,52360600
2022-03-23,43.720001,44.009998,43.029999,43.090000,40.504238,48539300
2022-03-24,43.380001,43.430000,42.889999,43.070000,40.485428,30360800
2022-03-25,43.480000,44.259998,43.330002,43.730000,41.105831,38968100
2022-03-28,43.709999,43.750000,42.830002,43.549999,40.936630,37428600
2022-03-29,44.250000,44.389999,43.110001,43.439999,40.833225,46355800
