Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,12.305000,12.330000,11.900000,12.200000,12.200000,1285800
2022-01-04,12.180000,12.287000,11.500000,11.650000,11.650000,2199500
2022-01-05,11.616000,11.650000,10.630000,10.700000,10.700000,3087400
2022-01-06,10.810000,10.940000,10.110000,10.650000,10.650000,2914000
2022-01-07,10.678000,11.080000,10.560000,10.860000,10.860000,2108600
2022-01-10,10.780000,10.840000,10.060000,10.460000,10.460000,2315100
2022-01-11,10.440000,11.025000,10.300000,10.860000,10.860000,1692800
2022-01-12,11.620000,11.735000,11.200000,11.450000,11.450000,3372800
2022-01-13,11.610000,11.620000,10.605000,10.640000,10.640000,2534500
2022-01-14,10.500000,10.680000,10.050000,10.420000,10.420000,2485000
2022-01-18,10.265000,10.575000,10.060000,10.090000,10.090000,2466400
2022-01-19,10.210000,10.320000,9.690000,9.850000,9.850000,2633400
2022-01-20,10.010000,10.420000,9.700000,9.730000,9.730000,2009000
2022-01-21,9.585000,9.710000,8.950000,9.000000,9.000000,3210000
2022-01-24,8.470000,8.830000,8.000000,8.720000,8.720000,5387900
2022-01-25,8.580000,8.820000,8.230000,8.490000,8.490000,2515900
2022-01-26,8.740000,9.058000,8.350000,8.480000,8.480000,2850900
2022-01-27,8.640000,8.710000,7.940000,8.100000,8.100000,5493300
2022-01-28,8.080000,8.325000,7.550000,8.240000,8.240000,4508200
2022-01-31,8.366000,9.160000,8.366000,9.040000,9.040000,2799100
2022-02-01,9.550000,9.684000,9.080000,9.490000,9.490000,2765300
2022-02-02,9.550000,9.560000,9.160000,9.420000,9.420000,1825000
2022-02-03,9.133000,9.299000,8.950000,9.030000,9.030000,1496000
2022-02-04,9.030000,9.575000,8.850000,9.490000,9.490000,1426000
2022-02-07,9.529000,9.870000,9.471000,9.570000,9.570000,1682900
2022-02-08,9.520000,10.055000,9.380000,10.010000,10.010000,1782300
2022-02-09,10.150000,10.679000,10.060000,10.640000,10.640000,2471200
2022-02-10,10.210000,11.110000,10.200000,10.280000,10.280000,2823900
2022-02-11,10.460000,10.540000,9.460000,9.630000,9.630000,2432400
2022-02-14,9.590000,9.850000,9.270000,9.480000,9.480000,1685800
2022-02-15,9.680000,10.230000,9.640000,10.160000,10.160000,1682200
2022-02-16,10.100000,10.110000,9.760000,9.940000,9.940000,1969500
2022-02-17,9.770000,9.970000,9.020000,9.060000,9.060000,2320700
2022-02-18,9.080000,9.285000,8.720000,8.940000,8.940000,2417900
2022-02-22,8.740000,9.050000,8.590000,8.730000,8.730000,2709400
2022-02-23,9.070000,9.360000,8.560000,8.630000,8.630000,3021300
2022-02-24,8.320000,9.910000,8.200000,9.890000,9.890000,4007900
2022-02-25,9.830000,9.940000,9.260000,9.450000,9.450000,3599300
2022-02-28,9.530000,9.640000,9.060000,9.540000,9.540000,5433300
2022-03-01,9.650000,9.760000,8.930000,9.100000,9.100000,5480000
2022-03-02,9.000000,9.310000,8.850000,9.050000,9.050000,3918900
2022-03-03,8.940000,8.980000,8.250000,8.480000,8.480000,8379900
2022-03-04,8.480000,8.590000,8.240000,8.400000,8.400000,3406000
2022-03-07,8.520000,8.830000,8.300000,8.370000,8.370000,7589600
2022-03-08,8.410000,8.801000,8.305000,8.510000,8.510000,6612200
2022-03-09,8.680000,9.050000,8.511000,8.830000,8.830000,6396400
2022-03-10,8.600000,8.970000,8.511000,8.740000,8.740000,4210300
2022-03-11,8.900000,8.990000,8.370000,8.390000,8.390000,4539600
2022-03-14,8.350000,8.680000,8.265000,8.530000,8.530000,7406300
2022-03-15,8.510000,8.730000,7.720000,7.920000,7.920000,8386400
2022-03-16,7.890000,8.680000,7.820000,8.600000,8.600000,11240000
2022-03-17,8.530000,8.805000,8.470000,8.650000,8.650000,14658300
2022-03-18,8.730000,9.490000,8.571000,9.070000,9.070000,21492100
2022-03-21,9.010000,9.220000,8.770000,8.830000,8.830000,8039000
2022-03-22,8.770000,9.390000,8.770000,9.000000,9.000000,7025600
2022-03-23,8.960000,9.090000,8.720000,8.760000,8.760000,3580100
2022-03-24,8.760000,8.895000,8.515000,8.640000,8.640000,2505900
2022-03-25,8.600000,8.600000,7.835000,7.960000,7.960000,6274300
2022-03-28,8.075000,8.085000,7.510000,7.640000,7.640000,5616000
2022-03-29,7.730000,8.390000,7.670000,8.290000,8.290000,4002400
2022-03-30,8.240000,8.475000,7.965000,8.100000,8.100000,3287000
2022-03-31,8.120000,8.350000,7.990000,8.050000,8.050000,2731000
2022-04-01,8.050000,8.110000,7.760000,7.920000,7.920000,2601300
2022-04-04,8.020000,8.395000,7.950000,8.300000,8.300000,3841100
2022-04-05,8.330000,8.350000,8.080000,8.200000,8.200000,3379300
2022-04-06,8.140000,8.266000,7.980000,8.060000,8.060000,4171600
2022-04-07,8.020000,8.090000,7.740000,7.930000,7.930000,4508000
2022-04-08,7.870000,8.010000,7.671000,7.800000,7.800000,2954800
2022-04-11,7.790000,7.950000,7.650000,7.830000,7.830000,2441600
2022-04-12,7.960000,8.340000,7.960000,8.200000,8.200000,3420800
2022-04-13,8.220000,8.420000,8.040000,8.380000,8.380000,2916600
2022-04-14,8.350000,8.480000,8.250000,8.420000,8.420000,2262600
2022-04-18,8.380000,8.380000,7.930000,7.980000,7.980000,2206900
2022-04-19,8.020000,8.465000,7.950000,8.440000,8.440000,2797700
